Data;selic
01/12/1999;18,99
01/01/2000;18,94
01/02/2000;18,87
01/03/2000;18,85
01/04/2000;18,62
01/05/2000;18,51
01/06/2000;18,04
01/07/2000;16,85
01/08/2000;16,52
01/09/2000;16,56
01/10/2000;16,6
01/11/2000;16,51
01/12/2000;16,19
01/01/2001;15,49
01/02/2001;15,2
01/03/2001;15,39
01/04/2001;16,02
01/05/2001;16,43
01/06/2001;17,28
01/07/2001;18,57
01/08/2001;19
01/09/2001;19,06
01/10/2001;19,06
01/11/2001;19,05
01/12/2001;19,05
01/01/2002;19,05
01/02/2002;18,97
01/03/2002;18,72
01/04/2002;18,38
01/05/2002;18,37
01/06/2002;18,1
01/07/2002;18,17
01/08/2002;17,84
01/09/2002;17,89
01/10/2002;19,59
01/11/2002;21,25
01/12/2002;23,03
01/01/2003;25,06
01/02/2003;25,68
01/03/2003;26,32
01/04/2003;26,32
01/05/2003;26,31
01/06/2003;26,09
01/07/2003;25,36
01/08/2003;23,5
01/09/2003;21,02
01/10/2003;19,54
01/11/2003;18,31
01/12/2003;16,91
01/01/2004;16,32
01/02/2004;16,3
01/03/2004;16,19
01/04/2004;15,96
01/05/2004;15,77
01/06/2004;15,8
01/07/2004;15,77
01/08/2004;15,86
01/09/2004;16,09
01/10/2004;16,41
01/11/2004;16,96
01/12/2004;17,5
01/01/2005;17,93
01/02/2005;18,47
01/03/2005;18,97
01/04/2005;19,32
01/05/2005;19,61
01/06/2005;19,75
01/07/2005;19,72
01/08/2005;19,75
01/09/2005;19,61
01/10/2005;19,25
01/11/2005;18,87
01/12/2005;18,24
01/01/2006;17,65
01/02/2006;17,28
01/03/2006;16,74
01/04/2006;16,19
01/05/2006;15,7
01/06/2006;15,18
01/07/2006;14,98
01/08/2006;14,66
01/09/2006;14,17
01/10/2006;13,95
01/11/2006;13,65
01/12/2006;13,19
01/01/2007;13,13
01/02/2007;12,93
01/03/2007;12,74
01/04/2007;12,58
01/05/2007;12,43
01/06/2007;12,03
01/07/2007;11,73
01/08/2007;11,43
01/09/2007;11,22
01/10/2007;11,18
01/11/2007;11,18
01/12/2007;11,18
01/01/2008;11,18
01/02/2008;11,18
01/03/2008;11,18
01/04/2008;11,37
01/05/2008;11,63
01/06/2008;12,09
01/07/2008;12,36
01/08/2008;12,92
01/09/2008;13,39
01/10/2008;13,66
01/11/2008;13,64
01/12/2008;13,66
01/01/2009;13,32
01/02/2009;12,66
01/03/2009;11,7
01/04/2009;11,11
01/05/2009;10,16
01/06/2009;9,54
01/07/2009;9,01
01/08/2009;8,65
01/09/2009;8,65
01/10/2009;8,65
01/11/2009;8,65
01/12/2009;8,65
01/01/2010;8,65
01/02/2010;8,65
01/03/2010;8,65
01/04/2010;8,72
01/05/2010;9,4
01/06/2010;9,94
01/07/2010;10,32
01/08/2010;10,66
01/09/2010;10,66
01/10/2010;10,66
01/11/2010;10,66
01/12/2010;10,66
01/01/2011;10,85
01/02/2011;11,17
01/03/2011;11,62
01/04/2011;11,74
01/05/2011;11,92
01/06/2011;12,1
01/07/2011;12,25
01/08/2011;12,42
01/09/2011;11,91
01/10/2011;11,7
01/11/2011;11,4
01/12/2011;10,9
01/01/2012;10,7
01/02/2012;10,4
01/03/2012;9,82
01/04/2012;9,35
01/05/2012;8,87
01/06/2012;8,39
01/07/2012;8,07
01/08/2012;7,85
01/09/2012;7,39
01/10/2012;7,23
01/11/2012;7,14
01/12/2012;7,16
01/01/2013;7,11
01/02/2013;7,12
01/03/2013;7,15
01/04/2013;7,26
01/05/2013;7,42
01/06/2013;7,9
01/07/2013;8,23
01/08/2013;8,45
01/09/2013;8,9
01/10/2013;9,25
01/11/2013;9,45
01/12/2013;9,9
01/01/2014;10,17
01/02/2014;10,43
01/03/2014;10,65
01/04/2014;10,87
01/05/2014;10,9
01/06/2014;10,9
01/07/2014;10,9
01/08/2014;10,9
01/09/2014;10,9
01/10/2014;10,92
01/11/2014;11,15
01/12/2014;11,58
01/01/2015;11,82
01/02/2015;12,15
01/03/2015;12,58
01/04/2015;12,68
01/05/2015;13,15
01/06/2015;13,58
01/07/2015;13,69
01/08/2015;14,15
01/09/2015;14,15
01/10/2015;14,15
01/11/2015;14,15
01/12/2015;14,15
01/01/2016;14,15
01/02/2016;14,15
01/03/2016;14,15
01/04/2016;14,15
01/05/2016;14,15
01/06/2016;14,15
01/07/2016;14,15
01/08/2016;14,15
01/09/2016;14,15
01/10/2016;14,05
01/11/2016;13,9
01/12/2016;13,65
01/01/2017;13,17
01/02/2017;12,82
01/03/2017;12,15
01/04/2017;11,59
01/05/2017;11,15
01/06/2017;10,15
01/07/2017;10,01
01/08/2017;9,15
01/09/2017;8,35
01/10/2017;8,01
01/11/2017;7,4
01/12/2017;7
01/01/2018;6,9
01/02/2018;6,72
01/03/2018;6,58
01/04/2018;6,4
01/05/2018;6,4
01/06/2018;6,4
01/07/2018;6,4
01/08/2018;6,4
01/09/2018;6,4
01/10/2018;6,4
01/11/2018;6,4
01/12/2018;6,4
01/01/2019;6,4
01/02/2019;6,4
01/03/2019;6,4
01/04/2019;6,4
01/05/2019;6,4
01/06/2019;6,4
01/07/2019;6,4
01/08/2019;5,9
01/09/2019;5,71
01/10/2019;5,38
01/11/2019;4,9
01/12/2019;4,59
01/01/2020;4,4
01/02/2020;4,19
01/03/2020;3,95
01/04/2020;3,65
01/05/2020;3,01
01/06/2020;2,58
01/07/2020;2,15
01/08/2020;1,94
01/09/2020;1,9
01/10/2020;1,9
01/11/2020;1,9
01/12/2020;1,9
01/01/2021;1,9
01/02/2021;1,9
01/03/2021;2,23
01/04/2021;2,65
01/05/2021;3,29
01/06/2021;3,76
01/07/2021;4,15
01/08/2021;5,01
01/09/2021;5,43
01/10/2021;6,3
01/11/2021;7,65
01/12/2021;8,76
01/01/2022;9,15
01/02/2022;10,49
01/03/2022;11,15
01/04/2022;11,65
01/05/2022;12,51
01/06/2022;12,89
01/07/2022;13,15
01/08/2022;13,58
01/09/2022;13,65
01/10/2022;13,65
01/11/2022;13,65
01/12/2022;13,65
01/01/2023;13,65
01/02/2023;13,65
01/03/2023;13,65
01/04/2023;13,65
01/05/2023;13,65
01/06/2023;13,65
01/07/2023;13,65
01/08/2023;13,19
01/09/2023;12,97
01/10/2023;12,65
01/11/2023;12,17
01/12/2023;11,87
01/01/2024;11,65
01/02/2024;11,15
01/03/2024;11
01/04/2024;10,65
01/05/2024;10,46
01/06/2024;10,4
01/07/2024;10,4
;
